Bezirk,Arbeitslose,Jugendarbeitslosigkeit,Bedarfsgemeinschaften SGB II,Kinderarmut,Grundsicherung im Alter,Kinder in alleinerziehenden SGB II BG
Steglitz-Zehlendorf,"2,5","1,1","7,5","11,3","4,0","5,8"
Pankow,"3,1","1,5","8,0","11,1","3,5","6,6"
Charlottenburg-Wilmersdorf,"3,8","1,6","10,5","17,3","8,7","8,8"
Treptow-Köpenick,"3,8","2,0","11,5","18,5","2,4","9,7"
Friedrichshain-Kreuzberg,"4,5","3,2","14,4","23,5","13,2","10,0"
Tempelhof-Schöneberg,"4,5","2,6","14,6","23,9","8,0","10,7"
Mitte,"5,2","3,1","18,2","33,5","13,4","12,5"
Lichtenberg,"5,0","2,9","15,6","26,2","4,2","12,9"
Reinickendorf,"5,2","3,0","18,5","30,9","5,3","13,0"
Neukölln,"7,0","4,9","21,3","36,5","10,3","13,5"
Marzahn-Hellersdorf,"4,5","3,0","16,1","26,3","4,2","14,6"
Spandau,"5,8","3,9","20,6","33,6","7,0","15,2"
