Bezirk,Einwohnende,Alter: unter 18,Alter: 18-64,Alter: 65 +,Anteil unter 18,Anteil 18-64,Anteil 65+,Durchschnittsalter,männlich,weiblich,Anteil männlich,Anteil weiblich,mit MH,Anteil mit MH
Mitte,397134,60390,285904,50840,"15,2","72,0","12,8","39,3",204770,192364,"51,6","48,4",228258,"57,5"
Friedrichshain-Kreuzberg,293454,43970,218146,31338,"15,0","74,3","10,7","39,1",150197,143257,"51,2","48,8",142641,"48,6"
Pankow,424307,73424,288306,62577,"17,3","67,9","14,7","41,4",208075,216232,"49,0","51,0",121077,"28,5"
Charlottenburg-Wilmersdorf,343081,47384,216929,78768,"13,8","63,2","23,0","45,1",165667,177414,"48,3","51,7",155359,"45,3"
Spandau,257091,47164,156652,53275,"18,3","60,9","20,7","43,1",126237,130854,"49,1","50,9",112550,"43,8"
Steglitz-Zehlendorf,310446,48671,182632,79143,"15,7","58,8","25,5","46,4",146602,163844,"47,2","52,8",99480,32
Tempelhof-Schöneberg,355868,55861,225373,74634,"15,7","63,3","21,0",44,174636,181232,"49,1","50,9",147362,"41,4"
Neukölln,330017,53919,218925,57173,"16,3","66,3","17,3","41,9",164810,165207,"49,9","50,1",165948,"50,3"
Treptow-Köpenick,294081,48255,185910,59916,"16,4","63,2","20,4","43,7",145170,148911,"49,4","50,6",70981,"24,1"
Marzahn-Hellersdorf,291948,53843,175329,62776,"18,4","60,1","21,5","43,4",145234,146714,"49,7","50,3",81491,"27,9"
Lichtenberg,311881,54735,198666,58480,"17,5","63,7","18,8","41,9",155015,156866,"49,7","50,3",108019,"34,6"
Reinickendorf,268792,45866,161089,61837,"17,1","59,9","23,0","44,6",132524,136268,"49,3","50,7",104778,39
